x	y	cluster	P31_obj_set_id_label	P31_obj_set	colors	label_gold1
20.457228	-65.42118	102	(Q7315155) research center	Q7315155	#0094ff	academia
-135.79823	35.24552	15	(Q4671277) academic institution	Q4671277	#0000ad	academia
19.897766	-65.43898	102	(Q31855) research institute	Q31855	#0094ff	academia
26.754633	-54.0548	348	(Q5633421) scientific journal	Q5633421	#cd0000	academia
-130.44608	43.41963	253	(Q955824) learned society	Q955824	#ffdb00	academia
-138.23001	36.401867	15	(Q180958) faculty	Q180958	#0000ad	academia
-126.239174	28.29166	124	(Q5341295) educational organization	Q5341295	#00d0ff	academia
30.401384	-40.197968	148	(Q13442814) scholarly article	Q13442814	#26ffd1	academia
29.882736	-41.669434	148	(Q13442814) scholarly article, (Q871232) editorial	Q13442814, Q871232	#26ffd1	academia
27.298212	-51.887566	348	(Q737498) academic journal	Q737498	#cd0000	academia
-95.16575	121.76365	239	(Q2367225) university and college sports club	Q2367225	#eeff09	academia
76.19893	93.8623	370	(Q5633421) scientific journal, (Q737498) academic journal, (Q773668) open-access journal	Q5633421, Q737498, Q773668	#890000	academia
76.18	93.82992	370	(Q737498) academic journal, (Q773668) open-access journal	Q737498, Q773668	#890000	academia
40.486027	-61.080402	93	(Q13442814) scholarly article, (Q7318358) review article	Q13442814, Q7318358	#007cff	academia
-2.3967495	-151.52538	268	(Q187685) doctoral thesis	Q187685	#ffb600	academia
34.82738	-54.92916	278	(Q23927052) conference paper	Q23927052	#ff9c00	academia
-138.1914	37.347744	15	(Q2467461) academic department	Q2467461	#0000ad	academia
50.230347	-45.885647	85	(Q2065227) official journal	Q2065227	#0068ff	academia
27.230505	-53.012806	348	(Q5633421) scientific journal, (Q737498) academic journal	Q5633421, Q737498	#cd0000	academia
27.59736	-54.883205	348	(Q47258130) scientific conference series	Q47258130	#cd0000	academia
-137.48753	34.81592	15	(Q19844914) university building	Q19844914	#0000ad	academia
25.851233	-50.347816	25	(Q18918145) academic journal article	Q18918145	#0000cd	academia
73.59396	90.71601	121	(Q45400320) open-access publisher	Q45400320	#00c8ff	academia
38.16092	-61.671837	93	(Q13442814) scholarly article, (Q1348305) erratum	Q13442814, Q1348305	#007cff	academia
40.57607	-60.213783	93	(Q13442814) scholarly article, (Q7318358) review article,  -	Q13442814, Q7318358	#007cff	academia
-2.7373636	-8.541187	170	(Q55454947) subcommittee of a technical committee	Q55454947	#56ffa0	academia
34.736015	-54.957245	278	(Q1143604) proceedings	Q1143604	#ff9c00	academia
-2.397397	-151.5161	268	(Q1266946) thesis	Q1266946	#ffb600	academia
31.606277	-72.40291	227	(Q637866) book review	Q637866	#d4ff23	academia
22.106295	-65.771416	102	(Q1402850) field study	Q1402850	#0094ff	academia
-48.668045	5.9863787	125	(Q30749496) diploma thesis	Q30749496	#00d4ff	academia
41.264133	-57.752674	93	(Q13442814) scholarly article,  - , (Q7318358) review article	Q13442814, Q7318358	#007cff	academia
31.606514	-72.39764	227	(Q13442814) scholarly article, (Q637866) book review	Q13442814, Q637866	#d4ff23	academia
25.46515	-49.892483	25	(Q21481766) academic chapter	Q21481766	#0000cd	academia
35.712185	22.536913	235	(Q17518557) collection of articles	Q17518557	#e4ff13	academia
28.90649	-37.967876	148	(Q13442814) scholarly article,  -	Q13442814	#26ffd1	academia
40.92319	-62.116104	93	(Q13442814) scholarly article, (Q7318358) review article, (Q871232) editorial	Q13442814, Q7318358, Q871232	#007cff	academia
29.282305	-38.20952	148	(Q13442814) scholarly article,  -	Q13442814	#26ffd1	academia
60.39462	-87.82001	208	(Q13442814) scholarly article, (Q7316896) retraction notice	Q13442814, Q7316896	#aaff4d	academia
60.393543	-87.82053	208	(Q13442814) scholarly article, (Q45182324) retracted paper	Q13442814, Q45182324	#aaff4d	academia
40.825386	-58.69593	93	(Q13442814) scholarly article,  - , (Q7318358) review article,  -	Q13442814, Q7318358	#007cff	academia
41.264015	-57.752705	93	(Q13442814) scholarly article,  - , (Q7318358) review article	Q13442814, Q7318358	#007cff	academia
28.529747	-36.313873	148	(Q13442814) scholarly article,  - ,  -	Q13442814	#26ffd1	academia
29.431715	-37.762947	148	(Q13442814) scholarly article,  -	Q13442814	#26ffd1	academia
31.46652	-40.051098	148	(Q13442814) scholarly article, (Q69488) MDMA	Q13442814, Q69488	#26ffd1	academia
29.550652	-42.855404	148	(Q13442814) scholarly article, (Q193842) geologic map	Q13442814, Q193842	#26ffd1	academia
18.690725	-65.14157	102	(Q1298668) research project, (Q54875403) research grant	Q1298668, Q54875403	#0094ff	academia
-52.450184	-28.361115	12	(Q3504085) rural municipality of Poland	Q3504085	#0000a4	administrative district
-37.662212	-48.332558	26	(Q747074) comune of Italy	Q747074	#0000cd	administrative district
-99.62718	-55.260532	152	(Q484170) commune of France	Q484170	#30ffc7	administrative district
-55.796265	-70.22925	143	(Q515) city	Q515	#19ffde	administrative district
-26.011358	-61.974213	61	(Q56061) administrative territorial entity	Q56061	#0024ff	administrative district
-30.007608	-10.326419	337	(Q262166) municipality of Germany	Q262166	#f10800	administrative district
-87.281784	-60.078262	326	(Q2555896) municipality of Colombia	Q2555896	#ff2200	administrative district
-93.41944	-64.63076	38	(Q184188) canton of France (until 2015)	Q184188, until 2015	#0000f6	administrative district
-38.471024	-49.120087	26	(Q70208) municipality of Switzerland	Q70208	#0000cd	administrative district
-42.46931	-39.42511	265	(Q2074737) municipality of Spain	Q2074737	#ffbd00	administrative district
-57.80346	-50.145706	108	(Q3957) town	Q3957	#00a4ff	administrative district
-72.65777	-36.347023	213	(Q1115575) civil parish, (Q532) village	Q1115575, Q532	#b4ff43	administrative district
-105.67109	0.4292241	329	(Q253019) Ortsteil	Q253019	#ff1a00	administrative district
-66.43273	-49.684937	246	(Q5084) hamlet	Q5084	#feed00	administrative district
92.305115	-37.679405	340	(Q61089180) part of municipality in the Czech Republic	Q61089180	#e80000	administrative district
-58.20988	-51.44992	108	(Q532) village	Q532	#00a4ff	administrative district
-93.69965	-64.79483	38	(Q18524218) canton of France	Q18524218	#0000f6	administrative district
63.017254	-14.418488	305	(Q3024240) historical country	Q3024240	#ff5900	administrative district
-25.767403	-57.720333	61	(Q1093829) city of the United States	Q1093829	#0024ff	administrative district
-10.360866	-24.547918	100	(Q3184121) municipality of Brazil	Q3184121	#0090ff	administrative district
-164.35004	-15.457586	41	(Q1289426) county of China	Q1289426	#0000ff	administrative district
-54.728497	-70.86375	143	(Q486972) human settlement	Q486972	#19ffde	administrative district
-16.734299	-21.668936	322	(Q123705) neighborhood	Q123705	#ff2d00	administrative district
-67.346985	-4.4693274	373	(Q12813115) urban area in Sweden	Q12813115	#800000	administrative district
-27.504915	-55.55366	61	(Q20202352) locality of Mexico	Q20202352	#0024ff	administrative district
-19.2857	-13.450031	267	(Q2989398) commune of Algeria	Q2989398	#ffb900	administrative district
-79.87993	-27.335373	114	(Q1131296) freguesia of Portugal, (Q3257686) locality	Q1131296, Q3257686	#00b8ff	administrative district
-98.76422	-56.64097	152	(Q21869758) delegated commune, (Q484170) commune of France	Q21869758, Q484170	#30ffc7	administrative district
-54.973747	-70.71225	143	(Q3257686) locality	Q3257686	#19ffde	administrative district
-92.33984	-63.983692	38	(Q3192808) commune of Madagascar	Q3192808	#0000f6	administrative district
-165.69928	-19.970243	41	(Q735428) town in China	Q735428	#0000ff	administrative district
-131.09839	-71.87411	106	(Q56557504) city of Iran	Q56557504	#00a0ff	administrative district
-138.33887	3.2939754	275	(Q1802801) rural municipality of Austria, (Q667509) municipality of Austria	Q1802801, Q667509	#ffa300	administrative district
-163.85788	-14.275223	41	(Q1065118) district of China	Q1065118	#0000ff	administrative district
-25.613739	-58.468784	61	(Q15127012) town of the United States	Q15127012	#0024ff	administrative district
-53.5771	-28.707205	12	(Q3558970) village of Poland	Q3558970	#0000a4	administrative district
4.094853	-31.008091	313	(Q3950) villa	Q3950	#ff4300	administrative district
-33.622246	-48.694107	333	(Q2983893) quarter	Q2983893	#ff1300	administrative district
-17.491703	-73.82427	245	(Q17343829) unincorporated community in the United States	Q17343829	#fbf100	administrative district
-28.463865	-19.955275	374	(Q23828039) village/town/city in Lebanon	Q23828039	#800000	administrative district
-33.52564	-47.380096	333	(Q2198484) municipal district	Q2198484	#ff1300	administrative district
1.1917441	5.8750362	260	(Q188509) suburb	Q188509	#ffcc00	administrative district
16.066507	52.707428	101	(Q19730508) former municipality	Q19730508	#0094ff	administrative district
-138.47601	2.5239182	275	(Q17376095) cadastral municipality of Austria	Q17376095	#ffa300	administrative district
-53.299675	-55.41318	283	(Q659103) commune of Romania	Q659103	#ff9100	administrative district
-49.96115	-67.04209	361	(Q1134686) frazione	Q1134686	#a40000	administrative district
-39.39391	-69.74488	89	(Q15284) municipality, (Q486972) human settlement	Q15284, Q486972	#0070ff	administrative district
-78.809326	-51.303123	215	(Q498162) census-designated place	Q498162	#baff3c	administrative district
-105.6526	-0.7876165	329	(Q253019) Ortsteil, (Q532) village	Q253019, Q532	#ff1a00	administrative district
-30.876078	-59.67524	273	(Q751708) village in the United States	Q751708	#ffab00	administrative district
-17.493181	-73.82321	245	(Q17343829) unincorporated community in the United States, (Q498162) census-designated place	Q17343829, Q498162	#fbf100	administrative district
-29.206903	-21.021624	374	(Q2785216) municipality section	Q2785216	#800000	administrative district
-84.20884	-83.31524	240	(Q3700011) kecamatan	Q3700011	#f1fc06	administrative district
-44.48216	-19.35197	224	(Q15630849) village of Bulgaria,  -	Q15630849	#ceff29	administrative district
-108.75073	-27.106834	296	(Q15217609) titular see	Q15217609	#ff6f00	administrative district
92.09251	-38.906906	340	(Q5153359) municipality of the Czech Republic	Q5153359	#e80000	administrative district
-70.717	-63.671104	321	(Q17051044) mahalle	Q17051044	#ff3000	administrative district
-13.470073	-47.918755	290	(Q192611) electoral district	Q192611	#ff7e00	administrative district
-32.176376	-59.12101	273	(Q51049922) village	Q51049922	#ffab00	administrative district
-26.902506	-56.31817	61	(Q1952852) municipality of Mexico	Q1952852	#0024ff	administrative district
-39.389366	-69.750565	89	(Q15284) municipality	Q15284	#0070ff	administrative district
-25.993172	-67.26082	282	(Q149621) district	Q149621	#ff9100	administrative district
79.95409	31.598972	202	(Q74047) ghost town	Q74047	#9dff5a	administrative district
-54.45359	39.29523	256	(Q16748868) city walls	Q16748868	#ffd300	administrative district
-69.60312	-59.160706	0	(Q1529096) village in Turkey	Q1529096	#000080	administrative district
-165.64236	-19.8061	41	(Q1500350) township of the People's Republic of China	Q1500350	#0000ff	administrative district
-50.474903	-27.899569	12	(Q21672098) village of Ukraine	Q21672098	#0000a4	administrative district
-18.477541	-20.54721	322	(Q490933) local community	Q490933	#ff2d00	administrative district
-52.1189	-46.830986	248	(Q192287) subdivisions of Russia, (Q532) village	Q192287, Q532	#ffea00	administrative district
-69.58379	-59.101433	0	(Q1529096) village in Turkey, (Q532) village	Q1529096, Q532	#000080	administrative district
-31.031813	-60.759884	273	(Q1530705) village development committee of Nepal	Q1530705	#ffab00	administrative district
-72.73717	-35.787334	213	(Q1115575) civil parish	Q1115575	#b4ff43	administrative district
-65.05424	-22.968403	66	(Q1523821) socken	Q1523821	#0034ff	administrative district
76.90987	-134.00455	351	(Q56436498) village in India	Q56436498	#c40000	administrative district
-165.85147	-20.71428	41	(Q986065) subdistrict of China	Q986065	#0000ff	administrative district
18.673813	56.489952	101	(Q22674925) former populated place	Q22674925	#0094ff	administrative district
-18.877806	-19.81306	322	(Q18663566) dissolved municipality of Japan	Q18663566	#ff2d00	administrative district
-28.014303	-74.51414	120	(Q13221722) third-level administrative country subdivision	Q13221722	#00c8ff	administrative district
79.64472	31.45378	202	(Q350895) abandoned village	Q350895	#9dff5a	administrative district
-105.27867	1.3489125	329	(Q253019) Ortsteil, (Q486972) human settlement	Q253019, Q486972	#ff1a00	administrative district
89.942665	-41.928844	122	(Q20871353) cadastral area in the Czech Republic, (Q5153359) municipality of the Czech Republic	Q20871353, Q5153359	#00ccff	administrative district
-6.2227526	-9.865035	170	(Q23012917) village of Burkina Faso	Q23012917	#56ffa0	administrative district
-22.571045	0.58315855	317	(Q2590631) municipality of Hungary	Q2590631	#ff3b00	administrative district
-43.26113	-82.98856	357	(Q18691601) ward of Tanzania	Q18691601	#b20000	administrative district
-41.365715	-21.967344	224	(Q1989945) agrotown	Q1989945	#ceff29	administrative district
93.13589	-36.58268	340	(Q6784672) municipality of Slovakia	Q6784672	#e80000	administrative district
-80.03366	-27.026024	114	(Q1131296) freguesia of Portugal	Q1131296	#00b8ff	administrative district
-44.48035	-19.35279	224	(Q15630849) village of Bulgaria	Q15630849	#ceff29	administrative district
-39.925003	-22.776476	224	(Q2514025) posyolok	Q2514025	#ceff29	administrative district
-51.911953	-46.47799	248	(Q192287) subdivisions of Russia, (Q5084) hamlet	Q192287, Q5084	#ffea00	administrative district
17.207687	22.406845	141	(Q100773131) economy of region	Q100773131	#16ffe1	administrative district
-41.837334	-38.54587	265	(Q3055118) single entity of population	Q3055118	#ffbd00	administrative district
-97.90742	4.9259057	129	(Q2583015) ghetto in Nazi-occupied Europe	Q2583015	#00e0fb	administrative district
-36.875557	-47.259632	26	(Q24764) municipality of the Philippines	Q24764	#0000cd	administrative district
-11.202978	-24.185339	100	(Q19658107) neighborhood of Brazil	Q19658107	#0090ff	administrative district
-50.021477	-67.100365	361	(Q1134686) frazione, (Q486972) human settlement	Q1134686, Q486972	#a40000	administrative district
-32.207188	12.385291	262	(Q2389082) rural commune of Vietnam	Q2389082	#ffc400	administrative district
90.10204	-41.619736	122	(Q20871353) cadastral area in the Czech Republic, (Q61089180) part of municipality in the Czech Republic	Q20871353, Q61089180	#00ccff	administrative district
-65.982895	-49.975956	246	(Q5084) hamlet, (Q532) village	Q5084, Q532	#feed00	administrative district
-56.78113	-52.174538	108	(Q34841063) seat of the local council, (Q532) village	Q34841063, Q532	#00a4ff	administrative district
65.05204	-11.89236	305	(Q15243209) historic district	Q15243209	#ff5900	administrative district
-32.20712	12.3851595	262	(Q687188) ward of Vietnam	Q687188	#ffc400	administrative district
11.551349	-77.47735	166	(Q5327369) chōchō	Q5327369	#4dffaa	administrative district
-41.52869	-64.24835	343	(Q15303838) municipality seat	Q15303838	#df0000	administrative district
-70.791466	-1.9688785	82	(Q814648) parish of Denmark	Q814648	#0060ff	administrative district
-165.57658	-16.245655	41	(Q13100073) village-level division in China	Q13100073	#0000ff	administrative district
-98.228745	-82.6993	113	(Q2225692) fourth-level administrative division in Indonesia	Q2225692	#00b4ff	administrative district
-80.526215	-26.014091	114	(Q2179958) district of Peru	Q2179958	#00b8ff	administrative district
-66.17341	-23.370646	66	(Q615980) parish of the Church of Sweden	Q615980	#0034ff	administrative district
-138.55858	2.0576742	275	(Q17376095) cadastral municipality of Austria, (Q3257686) locality	Q17376095, Q3257686	#ffa300	administrative district
-52.40328	-26.708126	12	(Q634099) rural settlement of Russia	Q634099	#0000a4	administrative district
-130.43404	-71.470856	106	(Q11353) district of Iran	Q11353	#00a0ff	administrative district
-99.96396	-81.685646	113	(Q2225692) fourth-level administrative division in Indonesia, (Q532) village	Q2225692, Q532	#00b4ff	administrative district
-72.85483	-79.86398	48	(Q18333556) registration district in Sweden	Q18333556	#0000ff	administrative district
-65.03398	-50.49299	246	(Q486972) human settlement, (Q5084) hamlet	Q486972, Q5084	#feed00	administrative district
-100.45842	-54.971497	152	(Q3508250) Syndicat intercommunal	Q3508250	#30ffc7	administrative district
-52.74944	-25.567577	12	(Q2661988) urban settlement in Russia	Q2661988	#0000a4	administrative district
-130.00711	-71.21294	106	(Q15125752) rural district of Iran	Q15125752	#00a0ff	administrative district
-85.24236	-82.52066	240	(Q26211545) desa	Q26211545	#f1fc06	administrative district
-0.47804946	-77.65746	4	(Q1077097) tambon	Q1077097	#000089	administrative district
-41.062756	-22.136131	224	(Q65661087) village in Belarus	Q65661087	#ceff29	administrative district
-27.870275	-74.04234	120	(Q13220204) second-level administrative country subdivision	Q13220204	#00c8ff	administrative district
-43.832153	-83.841515	357	(Q817477) tehsil	Q817477	#b20000	administrative district
70.37669	-131.54607	158	(Q16830604) census town of India	Q16830604	#3cffba	administrative district
-97.56628	-83.31957	113	(Q2225692) fourth-level administrative division in Indonesia, (Q965568) kelurahan	Q2225692, Q965568	#00b4ff	administrative district
-29.088312	-12.529593	252	(Q42211429) township of Minnesota	Q42211429	#ffde00	administrative district
-98.438545	-83.60165	113	(Q2225692) fourth-level administrative division in Indonesia, (Q26211545) desa	Q2225692, Q26211545	#00b4ff	administrative district
-28.269587	-75.34195	120	(Q14757767) fourth-level administrative country subdivision	Q14757767	#00c8ff	administrative district
-88.63657	-59.674263	326	(Q253326) cadastral municipality	Q253326	#ff2200	administrative district
75.68098	-50.79755	355	(Q21100463) natural monument in the Czech Republic	Q21100463	#bb0000	administrative district
-25.725258	-66.795746	282	(Q589282) ward or electoral division of the United Kingdom	Q589282	#ff9100	administrative district
89.10677	-72.57227	190	(Q10977433) protected area of Ukraine	Q10977433	#83ff73	administrative district
-41.537117	-64.255646	343	(Q15303838) municipality seat, (Q486972) human settlement	Q15303838, Q486972	#df0000	administrative district
-68.2394	-3.8479636	373	(Q14839548) minor locality in Sweden	Q14839548	#800000	administrative district
-75.506584	-16.210232	178	(Q3812392) union council of Bangladesh	Q3812392	#66ff90	administrative district
